County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"155,792","11,045",0.071,"3,346",440,"2,263",264,"1,288",10,819,"2,615"
Alexander,"37,392","1,576",0.042,265,304,128,13,147,1,458,260
Alleghany,"10,879","5,820",0.535,"1,349","1,225","1,507",81,682,26,482,468
Anson,"25,765","1,151",0.045,225,229,37,63,5,23,482,87
Ashe,"27,126","2,562",0.094,507,510,507,312,370,8,58,290
Avery,"17,773",978,0.055,581,183,84,16,0,2,77,35
Beaufort,"47,585","1,074",0.023,334,111,53,47,245,6,83,195
Bertie,"20,106","2,146",0.107,988,415,103,23,47,1,569,0
Bladen,"34,657","1,249",0.036,290,389,290,26,28,12,188,26
Brunswick,"118,836","5,518",0.046,"1,253","1,594","1,263",194,55,10,526,623
Buncombe,"250,539","29,622",0.118,"16,281","2,669","2,627",782,929,2,"2,332","4,000"
Burke,"89,486","3,771",0.042,886,782,526,34,628,0,531,384
Cabarrus,"192,103","4,189",0.022,857,"1,540","1,198",457,0,0,137,0
Caldwell,"81,484","10,739",0.132,"1,545","1,545","1,226","2,723","1,502",16,830,"1,352"
Camden,"10,331",822,0.08,218,185,134,17,212,0,56,0
Carteret,"68,811","2,560",0.037,750,344,725,147,206,20,75,293
Caswell,"23,082",970,0.042,229,171,80,353,0,0,5,132
Catawba,"154,534","7,696",0.05,"3,282","1,214","1,596",73,668,1,862,0
Chatham,"68,698","1,241",0.018,291,206,83,34,203,7,159,258
Cherokee,"27,141",461,0.017,107,110,105,30,52,5,51,1
Chowan,"14,572","1,727",0.119,508,289,308,15,420,0,187,0
Clay,"10,581","3,782",0.357,"1,322",664,978,83,347,4,376,8
Cleveland,"97,076","10,658",0.11,"4,111",882,"3,027","1,050",405,7,436,740
Columbus,"56,953","8,359",0.147,"2,130","2,268","2,476",94,330,51,528,482
Craven,"104,510","1,866",0.018,548,416,465,45,267,7,54,64
Cumberland,"326,328","3,916",0.012,"2,342",176,306,390,493,41,101,67
Currituck,"24,976","2,203",0.088,747,496,332,37,430,0,161,0
Dare,"35,104","1,755",0.05,612,301,253,36,345,14,178,16
Davidson,"164,072","2,184",0.013,97,"1,079",33,14,523,73,71,294
Davie,"41,434","2,085",0.05,772,290,393,1,308,1,288,32
Duplin,"59,882","2,917",0.049,825,484,164,438,515,24,49,418
Durham,"294,460","2,559",0.009,619,380,375,12,262,26,349,536
Edgecombe,"54,933",763,0.014,147,250,206,10,0,0,93,57
Forsyth,"365,298","25,221",0.069,"6,835","5,309","5,519","2,014",786,41,"4,371",346
Franklin,"62,860","4,563",0.073,705,"1,633",725,11,863,0,363,263
Gaston,"211,127","10,070",0.048,"4,470","2,278","1,786","1,014",313,0,126,83
Gates,"11,567",907,0.078,256,213,101,25,144,9,159,0
Graham,"8,644","2,366",0.274,323,128,107,585,"1,016",20,96,91
Granville,"58,500","2,320",0.04,645,484,82,5,437,2,113,552
Greene,"21,093",361,0.017,151,119,20,10,3,0,58,0
Guilford,"512,119","3,917",0.008,680,942,289,88,1072,5,203,638
Halifax,"52,970",747,0.014,183,115,54,6,160,20,136,73
Harnett,"126,666","1,338",0.011,286,421,170,18,102,1,119,221
Haywood,"59,471","1,194",0.02,264,185,190,203,12,0,340,0
Henderson,"111,149","4,384",0.039,547,360,618,218,"1,466",6,660,509
Hertford,"24,308","8,091",0.333,"4,499","2,188",16,100,481,1,734,72
Hoke,"51,611","1,246",0.024,278,274,278,13,158,2,109,134
Hyde,"5,676","1,957",0.345,541,529,229,43,12,1,53,549
Iredell,"166,675","3,777",0.023,211,259,184,"1,223","1,228",1,671,0
Jackson,"40,981","4,060",0.099,"1,172","1,033",813,102,217,1,324,398
Johnston,"181,423","16,784",0.093,"1,518",785,131,"12,396","1,046",6,878,24
Jones,"10,076",855,0.085,172,120,274,10,149,0,102,28
Lee,"59,662","1,340",0.022,348,332,189,20,272,6,149,24
Lenoir,"58,485","2,823",0.048,556,662,556,60,556,9,353,71
Lincoln,"79,829","1,999",0.025,406,391,239,416,0,47,80,420
Macon,"33,875","5,184",0.153,"1,409","1,515","1,042",85,197,4,670,262
Madison,"21,157","4,831",0.228,"1,282",973,"1,119",0,"1,285",34,57,81
Martin,"23,454","1,100",0.047,262,153,83,0,127,1,54,420
McDowell,"44,965","2,371",0.053,757,29,631,0,0,0,609,345
Mecklenburg,"1,012,539","33,196",0.033,"6,445","5,995",3872,264,"4,805",0,5006,"6,809"
Mitchell,"15,311","9,229",0.603,"3,763","1,902","1,553",174,0,19,24,"1,794"
Montgomery,"27,395","1,203",0.044,425,314,110,51,49,20,77,157
Moore,"93,077","3,004",0.032,601,708,425,54,856,3,357,0
Nash,"94,257","3,874",0.041,977,"1,295",898,8,0,4,422,270
New Hanover,"216,298","10,001",0.046,"5,511",914,739,"1,541",361,13,922,0
Northampton,"20,463","1,542",0.075,855,271,96,10,50,4,256,0
Onslow,"187,589","1,239",0.007,316,392,81,118,113,17,188,14
Orange,"140,420","13,490",0.096,"6,608","1,785",817,23,"3,395",0,620,242
Pamlico,"12,948",933,0.072,385,122,218,16,116,6,50,20
Pasquotank,"39,787","9,779",0.246,"2,635","2,930","1,617",190,"2,005",0,363,39
Pender,"56,250","1,079",0.019,379,324,268,5,0,4,40,59
Perquimans,"13,466","2,917",0.217,346,"1,701",205,127,438,0,100,0
Person,"39,132",680,0.017,289,91,80,14,13,4,189,0
Pitt,"175,354","6,047",0.034,936,900,"1,655",26,639,4,218,"1,669"
Polk,"20,357","1,333",0.065,365,297,128,82,149,4,174,134
Randolph,"142,778","10,826",0.076,"4,770","3,163",1320,354,536,23,256,404
Richmond,"45,733","2,363",0.052,534,879,217,44,530,2,157,0
Robeson,"134,760","11,601",0.086,"3,782","1,614","3,782",524,353,17,580,949
Rockingham,"91,696","15,321",0.167,"2,426",715,616,611,"1,016",11,185,"9,741"
Rowan,"138,630","15,708",0.113,"6,190","2,330","5,126",18,"1,132",4,822,86
Rutherford,"66,600","7,246",0.109,"1,433","1,075","2,079",347,419,7,"1,859",27
Sampson,"64,050","9,104",0.142,"1,900","2,028","1,170",538,214,10,466,"2,778"
Scotland,"35,576",701,0.02,198,270,38,42,0,11,136,6
Stanly,"60,600","1,177",0.019,228,112,67,225,279,7,200,59
Stokes,"46,419","6,713",0.145,"2,157","1,180","2,267",1,262,0,782,64
Surry,"72,968","7,621",0.104,"1,717","1,327","2,683",28,286,2,780,798
