County,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"1,548",446,898,109,753,1,396,"1,193"
Alexander,332,282,118,29,297,0,272,0
Alleghany,"1,316","1,054","1,443",186,593,6,305,390
Anson,246,246,37,64,2,33,541,94
Ashe,381,681,381,396,23,11,22,432
Avery,44,53,43,0,23,1,24,17
Beaufort,608,409,147,18,378,1,212,275
Bertie,404,785,115,56,5,10,"1,346",0
Bladen,220,226,258,9,92,7,185,0
Brunswick,"1,260","2,392","1,391",537,0,10,620,"1,586"
Buncombe,"13,607","1,482","2,529",313,859,0,"2,711","1,139"
Burke,"1,217",996,438,23,572,0,804,526
Cabarrus,856,"1,658","1,213",560,0,0,144,826
Caldwell,"1,207","2,040",698,"2,035",562,29,635,0
Camden,346,348,239,10,252,0,117,0
Carteret,357,"1,028",348,243,346,16,89,350
Caswell,902,542,256,346,0,4,22,"1,045"
Catawba,"1,060",393,507,69,329,1,901,0
Chatham,137,630,82,144,942,4,863,37
Cherokee,263,243,255,250,210,130,161,0
Chowan,257,654,188,45,424,0,141,0
Clay,879,403,299,199,351,8,60,51
Cleveland,"1,354",562,"2,694",317,374,6,522,517
Columbus,"1,174","1,759",953,77,282,36,197,0
Craven,449,223,468,"1,665",291,22,51,"3,483"
Cumberland,832,399,517,944,840,7,271,5
Currituck,734,"1,733",492,82,823,0,219,0
Dare,604,507,604,86,137,4,338,0
Davidson,102,"1,590",20,21,529,0,131,540
Davie,826,397,343,5,357,0,209,54
Duplin,290,151,132,312,88,13,30,33
Durham,832,755,739,6,256,43,722,234
Edgecombe,459,222,287,57,0,1,54,449
Forsyth.,"2,921","3,118","2,117",465,505,15,"2,277",19
Franklin,"1,130",906,526,122,935,0,378,15
Gaston,756,147,363,312,50,0,52,42
Gates,192,93,81,3,95,0,106,0
Graham,"1,542","2,222",138,134,"2,595",7,332,0
Granville,227,705,55,16,494,1,80,12
Greene,112,86,10,4,6,1,71,0
Guilford,638,948,10,0,813,0,217,848
Halifax,540,42,280,64,16,46,32,0
Harnett,335,104,180,26,131,2,118,206
Haywood,798,944,660,60,88,2,496,17
Henderson,505,378,0,0,933,0,176,675
Hertford,"2,854","1,741",75,89,638,0,777,73
Hoke,256,357,121,90,27,2,68,60
Hyde,545,597,239,41,18,5,51,491
Iredell,870,276,55,919,898,0,908,0
Jackson,"1,079","1,105",963,106,442,35,"1,248",922
Johnston,"1,254",548,91,"6,331","1,031",5,791,16
Jones,45,62,172,1,44,0,52,25
Lee,473,334,473,33,212,1,123,0
Lenoir,505,505,505,39,505,11,197,55
Lincoln,676,330,596,725,138,60,215,0
Macon,"1,617","1,432","1,313",97,716,16,"1,381","1,180"
Madison,"1,636","1,233","1,383",28,"1,678",40,63,105
Martin,970,436,104,40,163,3,200,307
McDowell,599,415,558,0,0,0,805,331
Mecklenburg,"1,368",444,"1,625","1,369","2,031",0,"2,555",122
Mitchell,"2,915","2,065","1,079",252,0,21,33,"1,593"
Montgomery,76,45,44,5,42,0,45,0
Moore,520,436,371,0,434,0,188,308
Nash,699,800,"1,236",27,0,3,506,742
New Hanover,"6,298",905,818,"2,065",209,9,200,0
Northampton,"1,200",200,15,6,0,2,218,0
Onslow,383,168,104,200,73,21,114,0
Orange,"1,497",715,597,21,"1,710",0,317,288
Pamlico,61,105,19,14,32,5,19,38
Pasquotank,"1,991","3,004","1,370",162,"1,890",0,484,0
Pender,450,312,455,26,0,2,17,44
Perquimans,216,574,143,33,287,0,164,0
Person,169,115,32,17,14,3,126,6
Pitt,967,"2,020",898,190,664,9,897,"1,291"
Polk,127,52,121,16,74,1,47,0
Randolph,"4,502","3,272",862,261,1168,27,644,"4,912"
Richmond,382,745,241,132,99,1,150,0
Robeson,"2,306","1,840","2,806",775,744,18,"1,528",432
Rockingham,"2,790","1,786","1,230",577,552,42,362,"3,658"
Rowan,"3,885","2,294","3,489","2,143",897,3,704,85
Rutherford,"1,699","1,076","2,634",425,369,6,"1,442",15
Sampson,"1,099","1,391","1,190",447,373,4,709,"1,607"
Scotland,116,"1,399",36,24,69,7,138,55
Stanly,429,413,429,186,386,27,175,0
Stokes,695,617,721,0,137,0,473,0
Surry,577,479,579,4,320,1,554,0
Swain,"2,987","8,800","1,193",72,64,7,356,"3,813"
Transylvania,"3,245",587,461,33,207,1,159,132
Tyrrell,"11,908",217,174,13,72,1,59,128
Union,598,"2,066",598,794,727,5,167,0
Vance,"2,426","1,456","1,082",382,"1,499",55,150,0
Wake,943,"7,058",651,518,"3,280",3,"1,653",0
Warren,"2,187",85,76,43,60,6,87,7
Washington,366,326,110,2,4,5,245,193
Watauga,718,684,435,21,58,16,160,0
Wayne,307,41,307,0,307,6,121,0
Wilkes,"2,225","2,146","2,769",337,"1,613",7,344,221
Wilson,"1,145",586,752,835,433,5,776,514
Yadkin,841,498,543,1,235,0,404,20
Yancey,479,327,388,172,205,6,102,2
