County,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"1,601","4,739",213,18,535,57,200,49
Alexander,54,85,54,18,62,7,25,0
Alleghany,265,157,183,16,139,3,18,87
Anson,6,9,4,1,4,1,9,3
Ashe,110,78,96,2,82,5,15,43
Avery,108,52,14,1,0,2,8,5
Beaufort,68,210,21,0,22,5,1,0
Bertie,94,57,21,6,11,4,13,3
Bladen,137,263,162,4,33,33,105,0
Brunswick,"1,066",738,743,28,906,28,37,207
Buncombe,942,133,192,9,"1,380",76,229,236
Burke,127,58,107,4,86,0,0,0
Cabarrus,200,145,69,57,57,21,9,89
Caldwell,84,300,60,200,67,5,34,0
Camden,57,48,46,14,133,0,11,0
Carteret,602,284,93,4,532,7,6,0
Caswell,87,222,21,0,72,0,14,60
Catawba,423,684,356,35,583,50,235,0
Chatham,22,17,5,2,15,0,9,44
Cherokee,74,67,45,17,29,4,48,0
Chowan,33,25,15,6,40,0,0,0
Clay,220,144,161,0,109,3,5,30
Cleveland,204,87,153,149,123,5,50,23
Columbus,100,254,72,12,71,32,78,0
Craven,726,580,120,116,99,16,12,0
Cumberland,718,718,451,12,93,148,87,0
Currituck,295,33,111,2,174,0,20,0
Dare,15,25,31,6,9,3,9,9
Davidson,10,156,2,30,267,4,10,82
Davie,66,27,18,0,51,0,14,1
Duplin,433,146,95,47,69,2,3,21
Durham,198,134,192,0,217,121,64,4
Edgecombe,113,47,100,12,0,2,6,80
Forsyth,"1,233",245,233,1,336,17,197,222
Franklin,13,29,10,2,21,0,13,14
Gaston,254,431,206,18,229,25,79,0
Gates,74,8,40,7,29,2,4,2
Graham,75,56,26,83,266,2,12,35
Granville,24,21,8,0,18,1,7,40
Greene,35,25,7,0,0,0,4,0
Guilford,685,699,306,0,446,8,21,260
Halifax,"5,300",88,37,20,13,9,46,0
Harnett,58,85,17,3,46,2,20,79
Haywood,118,88,62,99,0,0,51,394
Henderson,143,56,79,0,182,10,22,7
Hertford,680,310,6,3,153,3,21,6
Hoke,16,16,18,0,26,5,8,0
Hyde,248,248,80,15,3,1,35,307
Iredell,74,74,51,38,601,1,179,0
Jackson,82,81,42,7,7,2,31,0
Johnston,35,35,16,0,20,6,15,1
Jones,0,0,0,0,0,0,0,0
Lee,47,47,47,8,34,7,25,0
Lenoir,37,61,37,3,43,4,2,0
Lincoln,181,306,87,28,152,32,31,0
Macon,224,235,121,21,37,7,91,0
Madison,119,44,3,11,132,9,6,15
Martin,39,55,5,0,10,2,2,0
McDowell,104,3,102,0,39,0,61,57
Mecklenburg,"1,023",824,368,19,985,86,6,"2,065"
Mitchell,"1,411",343,434,7,44,39,10,57
Montgomery,32,26,5,10,3,1,11,9
Moore,88,83,72,20,76,14,13,38
Nash,175,52,149,3,0,0,15,18
New Hanover,"1,247",976,971,82,801,132,74,224
Northampton,130,50,5,2,4,1,24,1
Onslow,4,12,5,1,11,11,1,0
Orange,"1,208",398,542,1,842,37,3,987
Pamlico,245,85,33,21,24,1,2,0
Pasquotank,548,187,364,15,460,0,85,0
Pender,64,38,42,4,31,1,7,0
Perquimans,76,74,52,15,129,0,5,0
Person,37,3,3,0,0,0,2,0
Pitt,965,"1,844",145,0,277,88,31,2
Polk,15,12,10,1,19,0,3,1
Randolph,831,901,156,136,349,7,31,147
Richmond,64,41,15,4,50,0,4,0
Robeson,138,144,138,0,1,36,32,0
Rockingham,623,"2,752",517,29,608,5,61,"3,139"
Rowan,57,69,27,0,42,3,3,4
Rutherford,80,48,136,29,102,10,20,0
Sampson,95,138,13,9,110,1,11,2
Scotland,282,295,52,73,48,12,102,0
Stanly,70,23,30,35,15,4,3,0
Stokes,5,5,16,0,3,0,3,1
Surry,59,57,176,2,38,0,7,13
Swain,53,48,20,8,10,0,6,0
Transylvania,213,33,41,0,58,2,7,0
Tyrrell,"16,000",258,"1,234",8,200,0,30,103
Union,938,"1,120",486,4,290,47,22,"1,311"
Wake,242,"2,554",254,36,339,97,35,0
Warren,65,34,42,0,35,0,38,1
Washington,12,22,2,0,2,0,0,0
Watauga,496,159,43,0,0,20,22,3
Wayne,44,2,40,0,39,2,1,0
Wilkes,89,90,44,3,48,7,5,0
Wilson,317,246,175,126,103,15,100,166
Yadkin,387,297,370,4,73,2,93,16
Yancey,299,201,420,247,210,8,3,37
